id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0402,Abaroa,Abaroa,abaroa-bo0402,BO0402,2,-18.865,-66.765
BO0403,Carangas,Carangas,carangas-bo0403,BO0403,2,-18.375,-67.796
BO0401,Cercado,Cercado,cercado-bo0401,BO0401,4,-17.95,-67.056
BO0408,Ladislao Cabrera,Ladislao Cabrera,ladislao-cabrera-bo0408,BO0408,2,-19.468,-67.626
BO0405,Litoral,Litoral,litoral-bo0405,BO0405,5,-18.756,-68.246
BO0415,Mejillones,Mejillones,mejillones-bo0415,BO0415,3,-19,-68.695
BO0416,Nor Carangas,Nor Carangas,nor-carangas-bo0416,BO0416,1,-17.91,-67.837
BO0407,Pantaleón Dalence,Pantaleon Dalence,pantaleon-dalence-bo0407,BO0407,2,-18.269,-66.709
BO0406,Poopó,Poopo,poopo-bo0406,BO0406,3,-18.501,-66.889
BO0409,Sabaya,Sabaya,sabaya-bo0409,BO0409,3,-19.071,-68.26
BO0404,Sajama,Sajama,sajama-bo0404,BO0404,2,-18.105,-68.605
BO0413,San Pedro de Totora,San Pedro de Totora,san-pedro-de-totora-bo0413,BO0413,1,-17.843,-68.191
BO0410,Saucarí,Saucari,saucari-bo0410,BO0410,1,-18.261,-67.404
BO0414,Sebastián Pagador,Sebastian Pagador,sebastian-pagador-bo0414,BO0414,1,-19.161,-66.612
BO0412,Sur Carangas,Sur Carangas,sur-carangas-bo0412,BO0412,2,-18.852,-67.476
BO0411,Tomás Barrón,Tomas Barron,tomas-barron-bo0411,BO0411,1,-17.629,-67.422
