id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0904,Abuná,Abuna,abuna-bo0904,BO0904,2,-10.502,-66.924
BO0905,Federico Román,Federico Roman,federico-roman-bo0905,BO0905,3,-10.261,-65.924
BO0903,Madre de Dios,Madre de Dios,madre-de-dios-bo0903,BO0903,3,-11.7,-67.361
BO0902,Manuripi,Manuripi,manuripi-bo0902,BO0902,3,-11.652,-68.432
BO0901,Nicolás Suárez,Nicolas Suarez,nicolas-suarez-bo0901,BO0901,4,-10.891,-67.923
