id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0507,Alonso de Ibáñez,Alonso de Ibanez,alonso-de-ibanez-bo0507,BO0507,2,-18.165,-66.484
BO0512,Antonio Quijarro,Antonio Quijarro,antonio-quijarro-bo0512,BO0512,3,-20.158,-66.531
BO0505,Chárcas,Charcas,charcas-bo0505,BO0505,2,-18.294,-65.877
BO0504,Chayanta,Chayanta,chayanta-bo0504,BO0504,4,-18.777,-65.885
BO0503,Cornelio Saavedra,Cornelio Saavedra,cornelio-saavedra-bo0503,BO0503,3,-19.365,-65.36
BO0514,Daniel Campos,Daniel Campos,daniel-campos-bo0514,BO0514,2,-20.075,-68.198
BO0516,Enrique Baldivieso,Enrique Baldivieso,enrique-baldivieso-bo0516,BO0516,1,-21.468,-67.496
BO0513,General Bilbao,General Bilbao,general-bilbao-bo0513,BO0513,2,-17.991,-66.091
BO0511,José María Linares,Jose Maria Linares,jose-maria-linares-bo0511,BO0511,3,-19.881,-65.417
BO0515,Modesto Omiste,Modesto Omiste,modesto-omiste-bo0515,BO0515,1,-21.888,-65.73
BO0506,Nor Chichas,Nor Chichas,nor-chichas-bo0506,BO0506,2,-20.57,-65.787
BO0509,Nor Lipez,Nor Lipez,nor-lipez-bo0509,BO0509,2,-20.857,-67.623
BO0502,Rafael Bustillo,Rafael Bustillo,rafael-bustillo-bo0502,BO0502,4,-18.496,-66.431
BO0508,Sur Chichas,Sur Chichas,sur-chichas-bo0508,BO0508,2,-21.32,-65.854
BO0510,Sur Lipez,Sur Lipez,sur-lipez-bo0510,BO0510,3,-22.101,-67.135
BO0501,Tomás Frías,Tomas Frias,tomas-frias-bo0501,BO0501,4,-19.4,-65.937
