id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0305,Arani,Arani,arani-bo0305,BO0305,2,-17.6,-65.667
BO0306,Arque,Arque,arque-bo0306,BO0306,2,-17.815,-66.562
BO0303,Ayopaya,Ayopaya,ayopaya-bo0303,BO0303,3,-16.614,-66.461
BO0315,Bolivar,Bolivar,bolivar-bo0315,BO0315,1,-18.012,-66.646
BO0302,Campero,Campero,campero-bo0302,BO0302,3,-18.278,-64.906
BO0307,Capinota,Capinota,capinota-bo0307,BO0307,3,-17.713,-66.245
BO0312,Carrasco,Carrasco,carrasco-bo0312,BO0312,6,-16.992,-64.956
BO0301,Cercado,Cercado,cercado-bo0301,BO0301,1,-17.402,-66.168
BO0310,Chapare,Chapare,chapare-bo0310,BO0310,3,-16.654,-65.642
BO0304,Esteban Arze,Esteban Arze,esteban-arze-bo0304,BO0304,4,-17.74,-65.95
BO0308,Germán Jordán,German Jordan,german-jordan-bo0308,BO0308,3,-17.595,-65.922
BO0313,Mizque,Mizque,mizque-bo0313,BO0313,3,-18.029,-65.514
BO0314,Punata,Punata,punata-bo0314,BO0314,5,-17.592,-65.849
BO0309,Quillacollo,Quillacollo,quillacollo-bo0309,BO0309,5,-17.394,-66.369
BO0311,Tapacarí,Tapacari,tapacari-bo0311,BO0311,1,-17.576,-66.668
BO0316,Tiraque,Tiraque,tiraque-bo0316,BO0316,2,-17.186,-65.412
