id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0215,Abel Iturralde,Abel Iturralde,abel-iturralde-bo0215,BO0215,2,-13.223,-68.061
BO0213,Aroma,Aroma,aroma-bo0213,BO0213,7,-17.173,-67.946
BO0216,Bautista Saavedra,Bautista Saavedra,bautista-saavedra-bo0216,BO0216,2,-15.066,-68.827
BO0204,Camacho,Camacho,camacho-bo0204,BO0204,5,-15.574,-69.107
BO0220,Caranavi,Caranavi,caranavi-bo0220,BO0220,2,-15.696,-67.391
BO0207,Franz Tamayo,Franz Tamayo,franz-tamayo-bo0207,BO0207,2,-14.641,-68.377
BO0219,General José Manuel Pando,General Jose Manuel Pando,general-jose-manuel-pando-bo0219,BO0219,2,-17.226,-69.374
BO0218,Gualberto Villarroel,Gualberto Villarroel,gualberto-villarroel-bo0218,BO0218,3,-17.647,-67.874
BO0208,Ingavi,Ingavi,ingavi-bo0208,BO0208,7,-16.762,-68.843
BO0210,Inquisivi,Inquisivi,inquisivi-bo0210,BO0210,6,-16.939,-67.194
BO0206,Larecaja,Larecaja,larecaja-bo0206,BO0206,8,-15.614,-68.204
BO0209,Loayza,Loayza,loayza-bo0209,BO0209,5,-17.041,-67.582
BO0212,Los Andes,Los Andes,los-andes-bo0212,BO0212,4,-16.372,-68.45
BO0217,Manco Kapac,Manco Kapac,manco-kapac-bo0217,BO0217,3,-16.164,-69.028
BO0205,Muñecas,Munecas,munecas-bo0205,BO0205,3,-15.464,-68.791
BO0201,Murillo,Murillo,murillo-bo0201,BO0201,5,-16.304,-68.071
BO0214,Nor Yungas,Nor Yungas,nor-yungas-bo0214,BO0214,2,-16.201,-67.722
BO0202,Omasuyos,Omasuyos,omasuyos-bo0202,BO0202,6,-16.005,-68.621
BO0203,Pacajes,Pacajes,pacajes-bo0203,BO0203,8,-17.414,-68.732
BO0211,Sud Yungas,Sud Yungas,sud-yungas-bo0211,BO0211,5,-15.833,-67.073
