id,name.local,name.en,name.slug,code.id,children_count.municipality,geo.lat,geo.lon
BO0701,Andrés Ibáñez,Andres Ibanez,andres-ibanez-bo0701,BO0701,5,-17.906,-63.206
BO0712,Angel Sandoval,Angel Sandoval,angel-sandoval-bo0712,BO0712,1,-17.189,-58.957
BO0705,Chiquitos,Chiquitos,chiquitos-bo0705,BO0705,3,-17.84,-61.151
BO0707,Cordillera,Cordillera,cordillera-bo0707,BO0707,7,-19.248,-61.395
BO0709,Florida,Florida,florida-bo0709,BO0709,4,-18.101,-63.93
BO0714,Germán Busch,German Busch,german-busch-bo0714,BO0714,3,-19.068,-58.406
BO0715,Guarayos,Guarayos,guarayos-bo0715,BO0715,3,-15.244,-63.194
BO0704,Ichilo,Ichilo,ichilo-bo0704,BO0704,4,-16.913,-64.353
BO0713,Manuel María Caballero,Manuel Maria Caballero,manuel-maria-caballero-bo0713,BO0713,2,-17.829,-64.515
BO0711,Ñuflo De Chávez,Nuflo De Chavez,nuflo-de-chavez-bo0711,BO0711,6,-15.631,-62.036
BO0710,Obispo Santistéban,Obispo Santisteban,obispo-santisteban-bo0710,BO0710,5,-16.734,-63.387
BO0706,Sara,Sara,sara-bo0706,BO0706,3,-16.792,-63.783
BO0708,Vallegrande,Vallegrande,vallegrande-bo0708,BO0708,5,-18.672,-63.98
BO0703,Velasco,Velasco,velasco-bo0703,BO0703,3,-15.456,-60.878
BO0702,Warnes,Warnes,warnes-bo0702,BO0702,2,-17.355,-62.951
